date,avg_polarity,std_polarity,article_count,avg_vader_compound,std_vader_compound,positive_ratio,close,high,low,open,volume,daily_return
2012-01-17,0.2143,0.2911,7,0.0,0.0,0.5714,22.17378044128418,22.479787545610428,22.10316318696702,22.28362883841213,72395300,0.03538319822982139
2012-01-18,0.0455,0.1016,5,0.2645,0.3695,0.2,22.15023803710937,22.28362600088188,21.946232828011897,22.213008755556903,64860600,-0.10617226159133075
2012-01-19,0.0,0.0,3,0.0911,0.1577,0.0,22.063934326171875,22.31501725790301,21.993317064550958,22.095318944352105,74053500,-0.3896288193061759
2012-01-23,0.0,,1,0.0,,0.0,23.327192306518555,23.499812920781256,23.029031740221708,23.18595780269348,76078100,0.06729699748206919
2012-01-25,-0.04,0.1421,6,-0.0044,0.379,0.1667,23.19380569458008,23.264422950646377,22.80933479853701,22.80933479853701,59231700,0.7498010519700893
2012-01-26,0.0236,0.1015,5,0.0592,0.1324,0.2,23.146728515625,23.303656087241183,23.068264729816907,23.233038829671123,49102800,-0.20297306778801483
2012-01-27,0.0,0.0,2,0.148,0.2093,0.0,22.93488121032715,23.170272613602563,22.88780352830108,23.107501872043624,44187700,-0.9152364886244935
2012-01-30,0.1577,0.1453,8,0.1517,0.0936,0.875,23.233043670654297,23.24089020052728,22.62102780971439,22.730876234791086,51114800,1.3000392615632572
2012-01-31,0.0,,1,0.0,,0.0,23.17026710510254,23.30365508627519,22.934875757789072,23.27226897467119,50572400,-0.2702037943958735
2012-02-01,0.3929,0.1336,7,0.4366,0.2192,1.0,23.45273780822754,23.578279278529884,23.350735924821524,23.37427551171785,67409900,1.2191085318252304
2012-02-02,0.0,,1,0.0,,0.0,23.499814987182617,23.67243412005206,23.31150130114218,23.460582345685754,52223300,0.20073212492301984
2012-02-06,0.3896,0.5576,5,0.4075,0.2611,0.4,23.69597053527832,23.71166209320585,23.515503401677293,23.570429092425808,28039700,-0.13230737175292662
2012-02-07,0.0,0.0,4,-0.1249,0.2497,0.0,23.813669204711918,23.92351761038063,23.578277839828864,23.65674162812321,39242400,0.49670330767153104
